City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Manoel Urbano,-8.8389,-69.2597,23.27,96,100,0.55,BR,1612933998
La Paz,-16.5,-68.15,8.0,93,75,3.09,BO,1612933805
Noyon,49.5833,3.0,-4.44,79,0,8.75,FR,1612933998
Mar del Plata,-38.0023,-57.5575,19.44,77,75,4.63,AR,1612933998
Hithadhoo,-0.6,73.0833,28.05,79,61,6.39,MV,1612933998
Barra de Tecoanapa,16.5167,-98.75,24.24,79,0,2.21,MX,1612933999
Bethel,41.3712,-73.414,-5.56,85,75,1.88,US,1612933999
Santa Cruz Cabrália,-16.2781,-39.0247,22.0,94,20,1.03,BR,1612933999
Aswān,24.0934,32.907,17.58,44,51,4.33,EG,1612933825
Cortez,37.3489,-108.5859,6.0,52,90,2.06,US,1612933999
Dingle,10.9995,122.6711,29.17,73,39,1.6,PH,1612933999
Jamestown,42.097,-79.2353,-8.33,86,90,2.57,US,1612933999
Severo-Yeniseyskiy,60.3725,93.0408,-21.63,88,100,5.16,RU,1612934000
Yellowknife,62.456,-114.3525,-23.33,77,90,5.14,CA,1612934000
Moyale,3.5167,39.0584,22.57,42,33,7.54,KE,1612934000
Lexington,37.9887,-84.4777,0.56,80,90,3.09,US,1612933914
Saquarema,-22.92,-42.5103,21.53,88,1,1.15,BR,1612934000
Turbat,26.0023,63.044,25.8,16,49,10.05,PK,1612934000
Deloraine,-41.5333,146.6667,22.78,37,0,2.57,AU,1612934000
Sørland,67.667,12.6934,-1.13,84,42,3.7,NO,1612934001
Ponta do Sol,32.6667,-17.1,15.0,71,74,0.45,PT,1612934001
Innisfail,-17.5333,146.0333,28.06,83,45,2.7,AU,1612934001
Vestmannaeyjar,63.4427,-20.2734,4.92,69,99,7.68,IS,1612934001
Iralaya,15.0,-83.2333,24.71,84,68,4.11,HN,1612934002
Rawalpindi,33.6007,73.0679,17.22,59,0,0.45,PK,1612933819
Dikson,73.5069,80.5464,-31.55,88,100,4.56,RU,1612934002
Guiratinga,-16.3494,-53.7583,21.32,83,45,1.79,BR,1612934002
Upernavik,72.7868,-56.1549,-12.25,76,0,1.25,GL,1612934002
La Asuncion,11.0333,-63.8628,23.87,84,86,5.77,VE,1612934002
Swellendam,-34.0226,20.4417,14.0,94,7,1.03,ZA,1612934003
Bambous Virieux,-20.3428,57.7575,28.89,74,75,3.6,MU,1612934003
Guerrero Negro,27.9769,-114.0611,13.74,85,0,4.24,MX,1612934003
Mahdalynivka,48.921,34.9156,-2.0,86,90,5.0,UA,1612934003
Bauchi,10.5,10.0,17.15,27,93,2.02,NG,1612934003
Ikalamavony,-21.15,46.5833,21.57,81,100,1.85,MG,1612934003
Shakhtinsk,49.71,72.5872,-24.0,77,35,8.0,KZ,1612934003
Mahon,39.8885,4.2658,13.0,94,0,6.69,ES,1612934003
Acaraú,-2.8856,-40.12,25.34,87,87,3.11,BR,1612934003
New Norfolk,-42.7826,147.0587,22.22,34,0,1.34,AU,1612934004
Kibungo,-2.1597,30.5427,20.0,94,75,1.54,RW,1612934004
Caconda,-13.7333,15.0667,12.24,91,100,1.34,AO,1612934004
Tasiilaq,65.6145,-37.6368,-11.0,73,75,1.54,GL,1612934004
San Quintín,30.4833,-115.95,13.3,75,99,2.97,MX,1612934004
Seymchan,62.8833,152.4333,-16.38,90,93,5.55,RU,1612934004
Cherskiy,68.75,161.3,-21.4,86,0,0.84,RU,1612934006
Manosque,43.8288,5.7869,6.11,93,100,2.14,FR,1612934006
Port Hardy,50.6996,-127.4199,2.0,93,75,1.54,CA,1612933200
Marawi,7.9986,124.2928,28.33,82,15,3.13,PH,1612934007
Puerto Ayora,-0.7393,-90.3518,25.0,94,67,0.45,EC,1612934007
Pisco,-13.7,-76.2167,22.0,83,0,2.06,PE,1612934007
Namtsy,62.7161,129.6658,-30.0,69,0,2.0,RU,1612934007
Dunedin,-45.8742,170.5036,15.56,71,86,0.89,NZ,1612934007
Morondava,-20.2833,44.2833,24.67,93,100,6.28,MG,1612934007
Adilcevaz,38.8039,42.7342,-1.0,80,20,0.51,TR,1612934007
Salalah,17.0151,54.0924,24.0,35,75,4.63,OM,1612934007
Butaritari,3.0707,172.7902,27.65,81,64,8.18,KI,1612934007
Chiang Klang,19.2938,100.8617,22.0,60,0,2.06,TH,1612934008
Znamenskoye,57.1281,73.8282,-28.28,87,29,2.59,RU,1612934008
Tuni,17.35,82.55,27.49,46,8,1.81,IN,1612934008
Zhuhai,22.2769,113.5678,16.67,94,40,8.75,CN,1612934010
Ust-Tsilma,65.441,52.1498,-23.74,90,100,1.23,RU,1612934010
Cabo San Lucas,22.8909,-109.9124,18.0,63,1,3.09,MX,1612933766
Norman Wells,65.282,-126.8329,-41.0,66,20,0.9,CA,1612934010
Klaksvík,62.2266,-6.589,-1.0,74,100,1.54,FO,1612934010
Luena,-11.7833,19.9167,17.1,94,100,2.97,AO,1612934010
Banjar,-8.19,114.9675,30.0,74,75,6.17,ID,1612934011
Garden City,42.3256,-83.331,-10.0,72,75,2.57,US,1612934011
Leningradskiy,69.3833,178.4167,-32.83,83,29,5.0,RU,1612934011
Kavieng,-2.5744,150.7967,28.62,74,99,1.62,PG,1612934011
Krasnosel'kup,65.7,82.4667,-26.81,88,100,5.52,RU,1612934011
Piaçabuçu,-10.4056,-36.4344,25.09,85,98,3.26,BR,1612934012
Talnakh,69.4865,88.3972,-20.79,91,99,2.35,RU,1612934012
Chokurdakh,70.6333,147.9167,-24.71,87,31,1.12,RU,1612934012
Jiuquan,39.7432,98.5174,7.74,45,81,3.22,CN,1612934012
Kaita,34.3667,132.55,12.0,54,75,6.17,JP,1612934012
Mogadishu,2.0371,45.3438,24.0,69,0,5.14,SO,1612933953
Pevek,69.7008,170.3133,-22.06,75,0,1.04,RU,1612934012
Salinópolis,-0.6136,-47.3561,26.18,86,100,4.12,BR,1612934013
Chatham,51.3789,0.5279,1.11,65,84,3.13,GB,1612934013
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-1.0,69,40,6.0,RU,1612933922
Iqaluit,63.7506,-68.5145,-15.0,78,75,1.03,CA,1612934013
Kīhei,20.785,-156.4656,22.0,53,40,7.72,US,1612934013
Mbini,1.574,9.6134,27.0,94,20,2.47,GQ,1612934013
Puerto Nariño,-3.7703,-70.3831,23.0,100,0,0.88,CO,1612934013
Kruisfontein,-34.0033,24.7314,17.78,92,9,0.45,ZA,1612934013
Farafangana,-22.8167,47.8333,25.13,84,100,1.93,MG,1612934014
Corning,42.1428,-77.0547,-4.0,58,90,5.66,US,1612934014
Ketchikan,55.3422,-131.6461,-9.0,61,1,3.48,US,1612934014
Zhigansk,66.7697,123.3711,-28.59,86,2,3.1,RU,1612934014
Pio IX,-6.8375,-40.5792,21.19,89,100,2.57,BR,1612934015
Honggang,46.4667,124.8667,-4.14,93,5,2.82,CN,1612934015
Binghamton,42.0987,-75.918,-7.0,73,90,3.09,US,1612934015
Tres Arroyos,-38.3739,-60.2798,12.67,95,38,3.87,AR,1612934015
Alofi,-19.0595,-169.9187,25.0,94,90,3.6,NU,1612934016
Diu,20.7141,70.9822,26.8,24,96,2.85,IN,1612934016
Flic en Flac,-20.2742,57.3631,28.89,74,75,3.6,MU,1612934017
Ciudad Guayana,8.3533,-62.6528,21.59,83,50,2.55,VE,1612934017
Antofagasta,-23.65,-70.4,18.0,88,0,3.6,CL,1612934017
Fare,-16.7,-151.0167,27.87,70,0,6.38,PF,1612934017
Laguna,38.421,-121.4238,13.89,71,90,2.06,US,1612934018
Merauke,-8.4667,140.3333,30.11,70,85,3.04,ID,1612933987
Mossamedes,-15.1961,12.1522,21.97,80,99,1.04,AO,1612934018
Saint-Pierre,-21.3393,55.4781,30.0,54,0,4.63,RE,1612934018
Pimentel,-6.8367,-79.9342,22.22,86,98,0.89,PE,1612934019
Ostrovnoy,68.0531,39.5131,-13.28,93,100,8.18,RU,1612934019
Angoche,-16.2325,39.9086,25.72,89,100,3.0,MZ,1612934019
Nanortalik,60.1432,-45.2371,-3.55,87,4,7.82,GL,1612934019
Agropoli,40.3469,14.9966,15.56,88,35,4.02,IT,1612934020
Comodoro Rivadavia,-45.8667,-67.5,15.0,88,0,0.51,AR,1612934020
Jyvaskyla,62.2415,25.7209,-10.56,92,90,1.03,FI,1612934020
Whitehorse,60.7161,-135.0538,-37.0,67,20,1.96,CA,1612934021
Umm Kaddadah,13.6017,26.6876,16.86,38,47,5.96,SD,1612934021
Lavrentiya,65.5833,-171.0,-25.87,78,0,6.02,RU,1612934021
Darhan,49.4867,105.9228,-5.98,91,54,1.69,MN,1612934021
General Pico,-35.6566,-63.7568,15.65,60,0,3.43,AR,1612934022
Sibolga,1.7427,98.7792,29.93,65,63,2.47,ID,1612934022
Alyangula,-13.8483,136.4192,33.0,52,100,3.09,AU,1612934022
Omboué,-1.5746,9.2618,24.71,90,98,1.45,GA,1612934023
Stornoway,58.2093,-6.3865,0.0,59,75,3.6,GB,1612934023
The Valley,18.217,-63.0578,24.0,83,75,5.14,AI,1612933843
Nizhniy Baskunchak,48.2198,46.8311,2.04,95,100,6.14,RU,1612934023
Mount Isa,-20.7333,139.5,36.0,44,40,4.12,AU,1612934024
Roald,62.5833,6.1333,-2.0,93,90,4.63,NO,1612934024
Manthani,18.65,79.6667,27.09,22,0,0.59,IN,1612934024
Tonekābon,36.8163,50.8738,8.0,100,90,0.53,IR,1612934024
Zaykovo,57.5613,62.7568,-28.22,85,0,2.4,RU,1612934024
Brigham City,41.5102,-112.0155,6.0,61,90,2.63,US,1612934024
Necochea,-38.5473,-58.7368,13.89,93,17,0.89,AR,1612934025
Bandarbeyla,9.4942,50.8122,24.34,68,79,9.21,SO,1612934025
Nhulunbuy,-12.2333,136.7667,32.0,66,40,5.14,AU,1612934025
Saldanha,-33.0117,17.9442,16.0,82,0,2.57,ZA,1612934025
Teahupoo,-17.8333,-149.2667,26.0,73,75,5.66,PF,1612934026
Harwich,51.9419,1.2844,0.56,56,98,5.36,GB,1612934026
Katsuura,35.1333,140.3,11.67,32,75,4.63,JP,1612934026
Kaitangata,-46.2817,169.8464,15.56,68,100,4.47,NZ,1612934026
Venice,27.0998,-82.4543,18.89,100,1,1.65,US,1612934026
Flinders,-34.5833,150.8552,22.78,68,48,0.89,AU,1612934026
Sheltozero,61.3667,35.3667,-20.84,93,48,1.12,RU,1612934026
Jieshi,22.8134,115.8257,16.11,90,100,1.34,CN,1612934027
Saint-Augustin,51.226,-58.6502,-7.45,97,100,3.37,CA,1612934027
Gigmoto,13.7796,124.39,25.65,85,100,3.72,PH,1612934027
Passo de Camaragibe,-9.2368,-35.4901,24.0,88,20,1.54,BR,1612934027
Arman',59.7,150.1667,-4.84,89,93,9.84,RU,1612934027
Faya,18.3851,42.4509,10.0,81,0,1.5,SA,1612934027
Aloleng,16.1307,119.7824,29.39,62,70,3.81,PH,1612934028
Māngrol,21.1167,70.1167,24.65,34,74,3.95,IN,1612934028
Ugoofaaru,5.6667,73.0,27.6,68,55,5.55,MV,1612934028
Nyrob,60.733,56.7202,-30.28,86,100,1.6,RU,1612934028
Ribeira Grande,38.5167,-28.7,15.9,80,100,10.02,PT,1612934028
Airai,-8.9266,125.4092,22.11,91,99,1.78,TL,1612934028
Kharabali,47.4196,47.2568,1.67,99,100,5.91,RU,1612934028
Kargil,34.5667,76.1,-8.93,89,97,0.85,IN,1612934028
Vilhena,-12.7406,-60.1458,20.36,97,100,0.92,BR,1612934029
Kerrobert,51.9168,-109.1348,-29.0,69,1,5.14,CA,1612934029
Marathon,44.9,-89.7668,-18.0,71,1,2.06,US,1612934029
Ende,-8.8432,121.6623,30.27,65,100,2.76,ID,1612934029
Chokwé,-24.5333,32.9833,24.86,87,55,3.93,MZ,1612934029
Tiksi,71.6872,128.8694,-24.12,83,100,1.99,RU,1612934029
Thurso,58.5927,-3.5259,0.0,59,75,6.17,GB,1612934029
Lincoln,40.8,-96.667,-13.33,56,75,1.54,US,1612933955
Macon,39.8667,-88.9668,-11.0,73,90,4.63,US,1612934029
Taoudenni,22.6783,-3.9836,15.4,30,0,4.01,ML,1612934029
Morwell,-38.2333,146.4,25.0,57,0,1.79,AU,1612934030
Toktogul,41.8708,72.9402,-5.0,87,100,0.57,KG,1612934030
Waipawa,-41.4122,175.5153,19.0,63,40,8.75,NZ,1612934030
Byron Bay,-28.65,153.6167,24.0,78,90,6.69,AU,1612934030
Banda Aceh,5.5577,95.3222,29.07,71,42,4.19,ID,1612934030
Bara,10.3744,10.7288,21.64,19,73,3.52,NG,1612934030
Hervey Bay,-25.2986,152.8535,27.78,55,35,4.02,AU,1612934030
Itaguaí,-22.8522,-43.7753,23.89,88,0,1.54,BR,1612933975
Tanete,-3.9443,119.7848,34.46,40,99,5.21,ID,1612934030
Kaohsiung City,22.6163,120.3133,23.0,60,75,3.09,TW,1612933626
Goodyear,33.4353,-112.3582,17.0,27,75,0.32,US,1612934031
Severo-Kuril'sk,50.6789,156.125,-2.61,91,90,2.1,RU,1612934031
Makakilo City,21.3469,-158.0858,21.0,52,1,3.6,US,1612934031
Lhokseumawe,5.1801,97.1507,29.25,69,10,3.03,ID,1612933904
Kez,57.8979,53.7152,-27.2,87,64,0.59,RU,1612934031
Nizhniy Odes,63.6445,54.856,-25.56,90,90,1.57,RU,1612934031
Isoka,-10.1606,32.6335,17.43,100,100,1.26,ZM,1612934031
Jardim,-21.4803,-56.1381,20.23,78,76,0.77,BR,1612934032
Goma,-1.6792,29.2228,18.27,70,100,1.34,CD,1612934032
Boden,65.8252,21.6886,-17.0,85,0,2.57,SE,1612934032
Bell Ville,-32.6259,-62.6887,17.78,94,85,2.99,AR,1612934032
Māgadi,12.9667,77.2333,26.67,64,46,1.54,IN,1612934032
Evansville,37.9748,-87.5558,-1.67,69,90,3.09,US,1612933757
San Rafael,-34.6177,-68.3301,20.02,58,58,3.27,AR,1612934032
Hofn,64.2539,-15.2082,1.02,89,100,2.71,IS,1612934032
Nānākuli,21.3906,-158.1547,21.0,52,1,3.6,US,1612934033
Whyalla,-33.0333,137.5833,36.0,13,0,5.66,AU,1612934033
Bibbiena,43.6965,11.8135,11.11,85,100,2.68,IT,1612934033
Rocha,-34.4833,-54.3333,18.1,94,11,2.23,UY,1612934006
Siverek,37.755,39.3167,8.0,100,60,3.6,TR,1612934033
Cairns,-16.9167,145.7667,31.0,62,45,4.63,AU,1612934033
George Town,5.4112,100.3354,32.0,70,20,3.6,MY,1612934033
Brewster,41.3973,-73.6171,-6.11,85,75,1.46,US,1612934033
Slave Lake,55.2834,-114.769,-28.0,63,90,10.29,CA,1612933456
Suntar,62.1444,117.6319,-19.09,90,99,2.86,RU,1612934033
Bud,39.447,-86.1758,-6.67,81,100,2.82,US,1612934034
Sinnamary,5.3833,-52.95,24.64,81,89,5.21,GF,1612934034
Sorong,-0.8833,131.25,29.36,70,95,2.85,ID,1612934034
Tuatapere,-46.1333,167.6833,14.73,63,97,6.28,NZ,1612934034
Ossora,59.2353,163.0719,-1.06,96,97,6.12,RU,1612934034
Bambanglipuro,-7.95,110.2833,28.8,72,36,3.8,ID,1612933780
Pangnirtung,66.1451,-65.7125,-14.0,77,0,1.78,CA,1612934034
Lorengau,-2.0226,147.2712,25.47,83,100,2.34,PG,1612934034
Kilindoni,-7.9139,39.6668,27.76,78,100,9.3,TZ,1612934034
Ferkessédougou,9.6,-5.2,21.81,22,36,1.58,CI,1612933880
Kiryat Gat,31.61,34.7642,13.33,81,0,1.54,IL,1612933984
Ndjolé,-0.1783,10.7649,23.76,94,100,0.43,GA,1612934035
Khani,41.9563,42.9566,8.0,76,0,3.09,GE,1612934035
Buraidah,26.326,43.975,7.0,93,76,1.03,SA,1612934035
Chingirlau,51.095,54.0814,-17.84,93,100,6.64,KZ,1612934035
Launceston,-41.45,147.1667,22.78,37,0,2.57,AU,1612934035
Lenger,42.183,69.8839,6.0,87,40,3.0,KZ,1612934035
Bay Roberts,47.5999,-53.2648,-2.78,93,90,14.4,CA,1612934035
Haverhill,42.7762,-71.0773,-5.56,90,45,2.04,US,1612933911
Port Elizabeth,-33.918,25.5701,19.0,100,20,1.54,ZA,1612934035
Hasaki,35.7333,140.8333,12.78,28,75,3.09,JP,1612934036
Qasigiannguit,68.8193,-51.1922,-9.0,48,0,7.2,GL,1612934036
Beloha,-25.1667,45.05,23.08,90,100,2.28,MG,1612934036
Juneau,58.3019,-134.4197,-14.0,33,1,2.57,US,1612934036
Yulara,-25.2406,130.9889,37.0,32,40,6.69,AU,1612934036
Athabasca,54.7169,-113.2854,-28.0,69,100,5.14,CA,1612934036
Bintulu,3.1667,113.0333,30.0,74,40,2.06,MY,1612934036
Cabra,37.4725,-4.4421,11.67,80,100,2.24,ES,1612934036
Shache,38.4167,77.2406,13.16,32,0,0.36,CN,1612934036
Peniche,39.3558,-9.3811,12.78,92,100,2.68,PT,1612934037
Khatanga,71.9667,102.5,-24.39,85,0,3.84,RU,1612934037
Esperance,-33.8667,121.9,19.0,72,90,8.75,AU,1612934037
Dongning,44.0622,131.1207,-1.44,89,86,1.23,CN,1612934037
Angola,-12.5,18.5,16.43,96,100,1.78,AO,1612934037
Torit,4.4133,32.5678,25.55,46,89,0.94,SS,1612934037
Huilong,31.8111,121.655,13.33,58,100,1.34,CN,1612934037
Thinadhoo,0.5333,72.9333,27.86,77,33,8.07,MV,1612934037
Kungurtug,50.5994,97.5228,-6.45,93,100,2.4,RU,1612934037
Gisborne,-38.6533,178.0042,25.0,60,96,1.79,NZ,1612933990
Ol'ga,43.7444,135.2892,-2.0,81,100,5.7,RU,1612934038
Krasnovishersk,60.4078,57.082,-29.96,86,100,1.16,RU,1612934038
Naze,28.3667,129.4833,17.0,55,75,2.57,JP,1612934038
São Mateus do Maranhão,-4.0417,-44.475,21.5,94,100,0.45,BR,1612934038
Ciudad Bolivar,8.1222,-63.5497,24.15,71,25,5.33,VE,1612934038
São Gabriel da Cachoeira,-0.1303,-67.0892,22.96,98,100,0.52,BR,1612934038
Reconquista,-29.15,-59.65,18.78,85,73,0.66,AR,1612934038
Mattru,7.6244,-11.8332,23.28,93,8,1.04,SL,1612934038
Longyearbyen,78.2186,15.6401,-9.0,79,75,2.06,SJ,1612934038
Hamilton,39.1834,-84.5333,-5.0,74,90,3.6,US,1612933964
Prince Rupert,54.3161,-130.3201,-7.0,62,90,4.12,CA,1612934039
Acapulco de Juárez,16.8634,-99.8901,23.89,80,0,2.78,MX,1612933757
San Ignacio,17.1561,-89.0714,23.33,94,0,2.06,BZ,1612933990
Safi,32.2994,-9.2372,14.56,87,1,2.82,MA,1612934039
Saint-Ambroise,48.5501,-71.3324,-13.89,78,98,2.06,CA,1612934039
Sawtell,-30.3833,153.1,22.0,78,75,4.63,AU,1612934039
Ancud,-41.8697,-73.8203,15.56,78,0,0.39,CL,1612934039
Huarmey,-10.0681,-78.1522,21.91,75,62,0.97,PE,1612934039
Coquimbo,-29.9533,-71.3436,16.0,88,75,1.03,CL,1612934012
Pontian Kecil,1.4801,103.3899,30.0,70,40,4.12,MY,1612934040
San Cristobal,7.7669,-72.225,19.7,89,83,0.61,VE,1612934040
Sur,22.5667,59.5289,25.04,42,100,5.63,OM,1612934040
Estevan,49.1334,-102.9842,-26.67,69,75,6.17,CA,1612934040
Beyneu,45.3167,55.2,0.87,90,93,8.48,KZ,1612934040
Uray,60.1247,64.7758,-31.1,84,0,2.12,RU,1612934040
Itoman,26.1247,127.6694,21.0,64,75,7.72,JP,1612934040
